accountsservice 26.13.3-1.1
linux-cachyos 7.0.12-1
linux-cachyos-headers 7.0.12-1
linux-cachyos-lts 6.18.35-1
linux-cachyos-lts-headers 6.18.35-1
linux-firmware 1:20260519-1
localsend-bin 1.17.0-1
logrotate 3.22.0-1.1
lsb-release 2.0.r55.a25a4fc-1
lsscsi 0.32-2.1
ludusavi 0.31.0-1
lvm2 2.03.41-1.1
lxappearance 0.6.4-3.1
man-db 2.13.1-1.1
man-pages 6.18-1
mdadm 4.6-2
meld 3.22.3-2
mesa-utils 9.0.0-7.1
micro 2.0.15-2.1
mkinitcpio 41-2
modemmanager 1.24.2-1.1
mpvpaper-git r118.4de75e7-1
mtools 1:4.0.49-1.1
mullvad-vpn 2026.2-1.1
mullvad-vpn-daemon 2026.2-1.1
nano 9.0-1.1
nano-syntax-highlighting 2025.07.01.r0.g256995b-2
ncspot 1.3.4-1.1
netctl 1.29-2
network-manager-applet 1.36.0-2.1
networkmanager 1.56.1-1
networkmanager-openvpn 1.12.5-1.1
nfs-utils 2.9.1-1.1
nilfs-utils 2.3.0-1.1
notification-daemon 3.20.0-7.3
noto-fonts 1:2026.06.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
nss-mdns 0.15.1-2.1
okular 26.04.2-1.1
openbox 3.6.1-14.2
opencl-mesa 2:26.1.2-1
openocd 1:0.12.0-5.1
openssh 10.3p1-1.1
os-prober 1.84-1.1
pacman-contrib 1.13.1-1.2
paru 2.1.0-3
pavucontrol 1:6.2-1.1
perl 5.42.2-1.1
picom 13-2.1
pipewire-alsa 1:1.6.6-1.1
pipewire-pulse 1:1.6.6-1.1
pkgfile 25-2.1
plasma-desktop 6.6.5-1.1
plasma-nm 6.6.5-1.1
plasma-pa 6.6.5-1.1
plasma-systemmonitor 6.6.5-1.1
plocate 1.1.24-1.1
plymouth 26.134.222-2.1
pokemon-colorscripts-git r112.0483c85-1
polkit-gnome 0.105-12.1
polybar 3.7.2-2.1
polychromatic 0.9.7-1
poppler-glib 26.06.0-1.1
power-profiles-daemon 0.30-3
powerdevil 6.6.5-1.1
protonup-qt-bin 2.15.0-1
pv 1.10.5-1.1
python 3.14.5-4
python-defusedxml 0.7.1-8
python-packaging 26.2-1
python-pip 26.1.2-1
qt5ct 1.9-2.1
rebuild-detector 4.4.5-1
reflector 2023-5
ripgrep 15.1.0-2
rofi 2.0.0-1.1
rsync 3.4.4-1.1
s-nail 14.9.25-1.1
sddm-kcm 6.6.5-1.1
sg3_utils 1.48-1.2
shelly 2.3.3.4-1
smartmontools 7.5-1.1
snapper 0.13.1-2.1
sof-firmware 2025.12.2-1
spectacle 1:6.6.5-1.1
steam 1.0.0.85-7
stremio 4.4.183-1
sudo 1.9.17.p2-6.1
synergy 3.6.3-1
sysfsutils 2.1.1-2.2
texinfo 7.3-1.1
tor-browser-bin 15.0.15-1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-liberation 2.1.5-2
ttf-meslo-nerd 3.4.0-2
ttf-opensans 3.003-1
ueberzugpp 2.9.8-3.1
ufw 0.36.2-7
ufw-extras 1.2.0-1
unrar 1:7.2.6-1.1
unzip 6.0-23.1
upower 1.91.2-1.1
usb_modeswitch 2.6.2.20251207-1.1
usbutils 019-1.1
vim 9.2.0670-1.1
vivaldi-snapshot 8.1.4070.3-1
vivaldi-snapshot-ffmpeg-codecs 148.0.7778.263-1
vkbasalt 0.3.2.10-1
vlc-plugins-all 3.0.23_2-7.1
vulkan-radeon 2:26.1.2-1
vulkan-tools 1.4.350.0-1.1
wget 1.25.0-5.1
which 2.25-1.1
wireplumber 0.5.14-1.1
woff2-font-awesome 7.2.0-1
wpa_supplicant 2:2.11-5.1
xdg-desktop-portal-cosmic 1:1.0.16-1.1
xdg-desktop-portal-gtk 1.15.3-1.1
xdg-user-dirs 0.20-1.1
xdotool 4.20260303.1-1.1
xf86-video-amdgpu 25.0.0-1.1
xfsprogs 7.0.1-1.1
xl2tpd 1.3.20-1.1
xorg-server 21.1.23-1.1
xorg-xinit 1.4.4-1.1
xorg-xrdb 1.2.2-2.1
xorg-xsetroot 1.1.3-2.2
xorg-xwayland 24.1.12-1.1
xterm 410-1.1
yt-dlp 2026.06.09-1
zen-browser-bin 1.21.1b-1
