7zip 26.01-1.1
sudo 1.9.17.p2-2.1
swtpm 0.10.1-2.1
synergy 3.6.1-1
sysfsutils 2.1.1-2.2
telegram-desktop 6.9.1-1.1
texinfo 7.3-1.1
tor-browser-bin 15.0.15-1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-liberation 2.1.5-2
ttf-meslo-nerd 3.4.0-2
ttf-opensans 3.003-1
ufw 0.36.2-7
ufw-extras 1.2.0-1
unrar 1:7.2.6-1.1
unzip 6.0-23.1
upower 1.91.2-1.1
upscayl-bin 2.15.0-10
usb_modeswitch 2.6.2.20251207-1.1
usbutils 019-1.1
vesktop-bin 1.6.5-1
vim 9.2.0600-1.1
virt-manager 5.1.0-3
vivaldi-snapshot 8.1.4070.3-1
vkbasalt 0.3.2.10-1
vulkan-radeon 2:26.1.2-1
waypipe 0.11.0-1.1
wget 1.25.0-5.1
which 2.25-1.1
wireplumber 0.5.14-1.1
wlr-randr 0.5.0-1.1
wpa_supplicant 2:2.11-5.1
xdg-desktop-portal-cosmic 1:1.0.15-1.1
xdg-desktop-portal-gtk 1.15.3-1.1
xdg-user-dirs 0.20-1.1
xf86-video-amdgpu 25.0.0-1.1
xfsprogs 7.0.1-1.1
xl2tpd 1.3.20-1.1
xorg-xwayland 24.1.12-1.1
yt-dlp 2026.06.09-1
zed 1.6.3-1.1
zen-browser-bin 1.21b-1
